protein,task_id
HIPK2,49e4359c-52e9-4ed3-aaf0-f80de17e44b7
HIPK3,cb529956-82cc-4c82-b2b4-e40c14e20784
HIPK4,50cbabc7-8f2d-4147-ab8a-1a1d68c70975
PRPF4B (PRP4),85bf3bbb-063a-4bb2-8724-da84faa69e21
GSK3A (GSK3α),405002de-33d2-4950-b921-ac65603e28e4
GSK3B (GSK3β),694b69d7-1e89-4d32-8641-84b09f52e824
NLK,821ca7b7-6aa0-42d8-9f65-f37b4d4afe5c
ICK,9e1c15bf-18c8-48af-8b01-1b0991ad3974
MAK,dbdba8d0-69cf-4b81-a08f-972fba804052
MOK,3918fd54-3506-450a-ae03-b3d3253868d9
SRPK1,add24023-f889-47a2-8661-598f6aa2ece1
SRPK2,45321ddd-456f-425e-9cb5-a0ab3950b7bd
SRPK3 (MSSK1),19b49565-dc20-4b4d-922c-ce48c6603a1c
MAP2K1 (MEK1),8d35d235-c523-4c3d-b28a-fd4df6500a15
MAP2K2 (MEK2),f5be55dc-2cb2-46c7-8dc7-13d12e0e6cc8
MAP2K3 (MKK3),0d16f630-6727-4a11-8081-684db04dfc39
MAP2K6 (MKK6),5c928e03-60a8-49ef-ab72-efdc1b27994f
MAP2K4 (SEK1),9f415fc2-c374-4908-8c68-06d836ed3e7c
MAP2K5,9eb320d5-c2b0-4a18-9d85-459871897b94
MAP2K7,48812ad8-7b17-41d8-baf8-9ef2b2ef2411
MAP3K5 (ASK),cd92f45e-a81b-48f3-8d6c-5bcc91cb3fcb
MAP3K6 (MEKK6),9147a14b-c894-4524-8c59-c0f78df84793
MAP3K15,9fd586a1-d7a7-4ffa-bf40-065016612ee3
MAP3K1 (MEKK1),a75b2f42-1b39-4241-9270-14e94e854ddf
MAP3K2 (MEKK2),1d60602f-9f97-4763-a7d5-5223ab37b0a1
MAP3K3 (MEKK3),1e2cbad5-a639-4d00-b7c5-a5eb71f3f60d
MAP3K4,3d0b5df9-085f-4ec8-bf1e-3dbd603d5e05
MAP3K19 (MEKK15),ac016201-64b4-4bb8-8b4d-c006c93ae4dd
OXSR1 (OSR1),990d434e-e586-4d71-a15c-c506e2a30ca7
STK39 (STLK3),09b12f45-5756-480d-b37c-a8a44e062849
MAP4K1 (HPK1),9edbb960-78a5-42f1-8e55-82b3ac3a61ca
MAP4K2 (GCK),241bb6e1-6cb7-4105-b645-0b6cebb6a98e
MAP4K3 (KHS2),5089adc8-d34c-4c83-9337-730178703139
MAP4K5 (KHS1),734fd29c-d2a2-4f5b-a17b-aa2d4851b96c
MAP4K4 (HGK),08e3b32f-1b70-4d0c-91a6-a778fcb13831
MINK1 (MINK),52f924ac-ff09-4d0b-8750-cc837fdc78bd
NRK (ZC4),09070f55-93a2-45a3-9e0e-c3356d7e3ef6
TNIK (ZC2),99c47f38-38f7-429e-a48b-dfaade8ce1c7
STK3 (MST2),9fc2fcb8-9c2d-494b-b474-a09c90ba732f
STK4 (MST1),8978ba31-c161-4f25-897c-f56efdc974f6
MYO3A,2248e33a-6bb1-49f4-8256-cf330c54f132
MYO3B,00bdaab0-c425-404e-a243-6277d882c9a9
PAK1,1daf8dfb-40bd-4f86-a2bf-ee0917535ff5
PAK2,6dfdbb2a-5810-409d-9413-4ed81875eb3b
PAK3,88ff880b-2571-40d1-9591-e493fef65cf0
PAK4,d6dc0283-9c7d-4e4c-adfc-00bc8b4b099a
PAK5,814067ae-2b1f-423c-8422-d6892d899847
PAK6,896293a4-7a46-45ba-b33b-da14c685e5e7
SLK,9ec9489b-1fcf-4a3c-89ed-142664de246b
STK10 (LOK),9551e712-04d8-4321-a476-f6407093e3e6
STRADA (STLK5),fa8a28f4-0198-4abb-b037-04986ad26935
STRADB (STLK6),359fbfd7-59b7-4733-9e0d-af9d9e98bdb9
TAOK2 (TAO2),909cc2fd-0f70-4a4f-812b-9e5f053551a2
TAOK3 (TAO3),6debfc2d-e285-460e-9ae3-f35b38e5d6b3
STK24 (MST3),cdb00fcc-774e-4566-a661-63f087ce1b28
STK25 (YSK1),49de8379-34ab-4aa6-b7d5-78ece92d80b0
STK26 (MST4),3357d12d-e5d7-4747-9d1c-0c6799b665b3
EIF2AK4-b (GCN2~b),d3925f97-4921-49c8-98f5-bd73d96a5b59
MAP3K14 (NIK),5398c1ca-b73b-4e03-858c-d12ca6e93cfc
MAP3K8 (COT),88171146-bb20-4609-a39e-dafdb1672620
TNK1,55c8f6a2-382d-4a6e-91dc-0cd4487d5f8d
TNK2 (Ack),d7d34fd5-6d44-4a60-bd90-57cf48dc36f8
ALK,3974ba43-f7bc-4f83-973c-96cc68441d17
LTK,aace6e8f-15ac-44ca-b310-98fa9bdb7202
AXL,5c1f47bd-1f69-499b-8472-532a2b4e6e36
MERTK (Mer),8f567ee9-0abc-44fa-9673-ddfb926dcef3
TYRO3 (Sky),2838cd6e-ca87-4072-a282-3ecdef7c92b3
PTK7 (CCK4),51486819-29c4-4ac3-8637-2aa4d8bc8278
DDR1,c07427ed-22f2-48a5-b6b4-c835a8c5453e
DDR2,eb538bdb-389a-4a1d-8286-3b0e74b645ad
EGFR,a8ed2939-e0cd-4f44-8e8d-a5d291e0d9fc
ERBB2 (HER2),f2d91fe7-7cc7-4fca-b92b-61fa9fc4ebdd
ERBB3 (HER3),34b0585a-1aa2-42b5-97c9-8cc13f2530b9
ERBB4 (HER4),287a56e3-2fc6-4d1e-8ba4-7ea17ee31d29
EPHA1,bacdffa2-42ec-47bb-af98-a6518847331f
EPHA2,a7971dc3-5ef4-40ee-afe2-f7fe3f4fc7d1
EPHA3,cfd68047-29f2-4e04-9961-1d5fca3c29f0
EPHA4,cc606006-63e8-4d74-9394-4809aa31f806
